t_start,t_end,n_ids_present,mean_distance,cluster_count,triad_count_total,triad_count_sig,triad_S_sum,triad_S_mean,triad_S_sig_sum,TriadState,FragState
222000.0,223800.0,8,6088.809766195742,2,0,0,,,,0,0
222600.0,224400.0,8,6091.130059422693,2,0,0,,,,0,0
223200.0,225000.0,8,6088.402218548416,2,0,0,,,,0,0
223800.0,225600.0,8,5988.708670073475,2,0,0,,,,0,0
224400.0,226200.0,8,5914.783277204961,2,0,0,,,,0,0
225000.0,226800.0,8,5891.012528827198,2,0,0,,,,0,0
225600.0,227400.0,8,5718.45640131705,2,0,0,,,,0,0
226200.0,228000.0,8,5276.29734557339,2,0,0,,,,0,0
226800.0,228600.0,8,4872.615124396543,2,0,0,,,,0,0
227400.0,229200.0,8,4728.27781419204,2,0,0,,,,0,0
228000.0,229800.0,8,4817.26149959133,2,0,0,,,,0,0
228600.0,230400.0,8,4898.117743441525,2,0,0,,,,0,0
229200.0,231000.0,8,4940.456750149878,2,0,0,,,,0,0
229800.0,231600.0,8,4968.57728886065,2,0,0,,,,0,0
230400.0,232200.0,8,4980.4716674453175,2,0,0,,,,0,0
231000.0,232800.0,8,4980.605074680973,2,0,0,,,,0,0
231600.0,233400.0,8,4980.77107815208,2,0,0,,,,0,0
232200.0,234000.0,8,4980.45064127624,2,0,0,,,,0,0
232800.0,234600.0,8,4979.998933149318,2,0,0,,,,0,0
233400.0,235200.0,8,4979.532199281796,2,0,0,,,,0,0
234000.0,235800.0,8,4979.566257530152,2,0,0,,,,0,0
234600.0,236400.0,8,4979.064139610926,2,0,0,,,,0,0
235200.0,237000.0,8,4978.847555121364,2,0,0,,,,0,0
235800.0,237600.0,8,4979.894801023505,2,0,0,,,,0,0
236400.0,238200.0,8,4981.15751771346,2,0,0,,,,0,0
237000.0,238800.0,8,4982.146761169534,2,0,0,,,,0,0
237600.0,239400.0,8,4982.179362680962,2,0,0,,,,0,0
238200.0,240000.0,8,4982.561511149455,2,0,0,,,,0,0
238800.0,240600.0,8,4982.433215451653,2,0,0,,,,0,0
239400.0,241200.0,8,4982.012831638111,2,0,0,,,,0,0
240000.0,241800.0,8,4981.541249120998,2,0,0,,,,0,0
240600.0,242400.0,8,4981.416202188237,2,0,0,,,,0,0
241200.0,243000.0,8,4981.362486169526,2,0,0,,,,0,0
241800.0,243600.0,8,4981.252698708022,2,0,0,,,,0,0
242400.0,244200.0,8,4981.143965082877,2,0,0,,,,0,0
243000.0,244800.0,8,4981.036375826613,2,0,0,,,,0,0
243600.0,245400.0,8,4980.930036091367,2,0,0,,,,0,0
244200.0,246000.0,8,4980.8250674502115,2,0,0,,,,0,0
244800.0,246600.0,8,4980.721609336986,2,0,0,,,,0,0
245400.0,247200.0,8,4980.619819670505,2,0,0,,,,0,0
246000.0,247800.0,8,4980.519874013808,2,0,0,,,,0,0
